pnode_id,pnode_name,pnode_subtype,pnode_voltage,sub_id,sub_name,sub_city,sub_state,sub_max_volt,sub_lat,sub_lng,match_score
2,NI,ZONE,,147597,NIH,BETHESDA,MD,-999999,39.00343352200008,-77.10803147799999,80.0
1028,PECO_DUPONT,AGGREGATE,,147830,DUPONT,RICHMOND,VA,-999999,37.453271381000036,-77.43845776399996,70.58823529411764
49250,MONUMEST13 KV   THREE,LOAD,13 KV,146596,MONUMENT STREET,BALTIMORE,MD,115,39.29721621200008,-76.60853230099997,70.58823529411764
49278,RIVERSID13 KV   110-4,LOAD,13 KV,123198,RIVERSIDE (115KV),DUNDALK,MD,115,39.23922930800006,-76.51257662299997,72.22222222222221
51205,BRANDONSH,AGGREGATE,,123267,BRANDON SHORES,CURTIS BAY,MD,230,39.18207853500007,-76.53571240199994,78.26086956521739
51205,BRANDONSH,AGGREGATE,,151735,RANDOLPH,ATWATER,OH,-999999,41.02176599500007,-81.19462643499998,70.58823529411764
51206,BRUNSWICK,AGGREGATE,,143944,BRUNSWICK,NORTH BRUNSWICK,NJ,230,40.446150285000044,-74.46143066599996,100.0
51206,BRUNSWICK,AGGREGATE,,148053,BRUNSWICK,BRODNAX,VA,115,36.741400817000056,-77.92115070899996,100.0
51206,BRUNSWICK,AGGREGATE,,153971,BRUNSWICK,BRUNSWICK,OH,-999999,41.23722570100006,-81.85993426099998,100.0
51208,CONEMAUGH 1,AGGREGATE,,147447,CONEMAUGH,NEW FLORENCE,PA,500,40.38980907700005,-79.05908612499996,90.0
51208,CONEMAUGH 1,AGGREGATE,,162048,CONEMAUGH,NEW FLORENCE,PA,115,40.38579968500005,-79.05925268699997,90.0
51209,CONEMAUGH 2,AGGREGATE,,147447,CONEMAUGH,NEW FLORENCE,PA,500,40.38980907700005,-79.05908612499996,90.0
51209,CONEMAUGH 2,AGGREGATE,,162048,CONEMAUGH,NEW FLORENCE,PA,115,40.38579968500005,-79.05925268699997,90.0
51211,COOKSTOWN,AGGREGATE,,132620,WOODSTOWN,PILESGROVE TWP,NJ,69,39.63654548400007,-75.31794109399993,77.77777777777779
51211,COOKSTOWN,AGGREGATE,,147940,YORKTOWN,YORKTOWN,VA,230,37.21316328900008,-76.46103490899998,70.58823529411764
51213,DEEP CREEK 1,AGGREGATE,,122611,DEEP CREEK,OAKLAND,MD,115,39.52358220700006,-79.41310308999994,90.9090909090909
51213,DEEP CREEK 1,AGGREGATE,,147041,DEEP CREEK,CHESAPEAKE,VA,115,36.764297584000076,-76.34346027899994,90.9090909090909
51213,DEEP CREEK 1,AGGREGATE,,123992,DEER CREEK,MARION,IN,138,40.51604701900004,-85.64382550199997,81.81818181818181
51214,DOVER,AGGREGATE,,152287,DOVER,DOVER,OH,69,40.520343136000065,-81.46801670199994,100.0
51214,DOVER,AGGREGATE,,147328,ANDOVER,ANDOVER,OH,-999999,41.60368486700003,-80.61219604299998,83.33333333333334
51214,DOVER,AGGREGATE,,146048,COVERT,COVERT TWP,MI,-999999,42.321524888000056,-86.29396622699994,72.72727272727273
51215,DPL NORTH,AGGREGATE,,151018,NORTH LIMA,NORTH LIMA,OH,-999999,40.95083407900006,-80.65505041999995,73.6842105263158
51215,DPL NORTH,AGGREGATE,,113745,NORTH DELPHOS,DELPHOS,OH,138,40.89622489900006,-84.30933983899996,72.72727272727273
51215,DPL NORTH,AGGREGATE,,147849,NORTH DOSWELL,DOSWELL,VA,115,37.88319272700005,-77.46122386099995,72.72727272727273
51216,DPL SOUTH,AGGREGATE,,108938,SOUTH NEAL,KENOVA,WV,138,38.349091275000035,-82.59309704299994,73.6842105263158
51216,DPL SOUTH,AGGREGATE,,122730,SOUTH BEND,SOUTH BEND,IN,138,41.695959893000065,-86.19973764499997,73.6842105263158
51216,DPL SOUTH,AGGREGATE,,148028,SOUTH HILL,SOUTH HILL,VA,115,36.72624205400007,-78.11698543399996,73.6842105263158
51218,EASTON,AGGREGATE,,122913,EASTON,EASTON,MD,-999999,38.77894463600006,-76.07798381999999,100.0
51218,EASTON,AGGREGATE,,123966,EASTON 2,EASTON,MD,-999999,38.794976844000075,-76.06913722199994,85.71428571428572
51218,EASTON,AGGREGATE,,111419,GASTON,LITTLETON,NC,232,36.498793601000045,-77.81135660399997,83.33333333333334
51221,FAIRLAWN,AGGREGATE,,152370,FAIRLAWN,AKRON,OH,-999999,41.11113124500008,-81.58011788299996,100.0
51221,FAIRLAWN,AGGREGATE,,132410,FAIR LAWN,FAIR LAWN,NJ,230,40.94951843300004,-74.12844405899995,94.11764705882352
51221,FAIRLAWN,AGGREGATE,,139342,FAIRLAND,SILVER SPRING,MD,-999999,39.06365046900004,-76.96446674199996,87.5
51223,GILBERT CC 4,AGGREGATE,,132948,GILBERT,MILFORD,NJ,230,40.56637695100005,-75.16470925599998,73.6842105263158
51223,GILBERT CC 4,AGGREGATE,,144391,GILBERT,MILFORD,NJ,230,40.568729304000044,-75.16213125899998,73.6842105263158
51223,GILBERT CC 4,AGGREGATE,,153958,GILBERT,GILBERT,WV,46,37.61547188800006,-81.86294443099996,73.6842105263158
51224,GILBERT CT 1,AGGREGATE,,132948,GILBERT,MILFORD,NJ,230,40.56637695100005,-75.16470925599998,73.6842105263158
51224,GILBERT CT 1,AGGREGATE,,144391,GILBERT,MILFORD,NJ,230,40.568729304000044,-75.16213125899998,73.6842105263158
51224,GILBERT CT 1,AGGREGATE,,153958,GILBERT,GILBERT,WV,46,37.61547188800006,-81.86294443099996,73.6842105263158
51225,GILBERT CT 9,AGGREGATE,,132948,GILBERT,MILFORD,NJ,230,40.56637695100005,-75.16470925599998,73.6842105263158
51225,GILBERT CT 9,AGGREGATE,,144391,GILBERT,MILFORD,NJ,230,40.568729304000044,-75.16213125899998,73.6842105263158
51225,GILBERT CT 9,AGGREGATE,,153958,GILBERT,GILBERT,WV,46,37.61547188800006,-81.86294443099996,73.6842105263158
51226,GLEN GARDNER CT 1,AGGREGATE,,143613,GLEN GARDNER,GLEN GARDNER,NJ,230,40.68102219000008,-74.92037348299993,82.75862068965517
51227,HAMILTON CT 1,AGGREGATE,,147917,HAMILTON,HAMILTON,VA,-999999,39.146408448000045,-77.68039987899994,76.19047619047619
51228,HAZELTON,AGGREGATE,,124997,HAZELTON,HAZLETON,PA,-999999,40.928811377000045,-76.04097461499998,100.0
51228,HAZELTON,AGGREGATE,,147917,HAMILTON,HAMILTON,VA,-999999,39.146408448000045,-77.68039987899994,75.0
51228,HAZELTON,AGGREGATE,,147935,WHEALTON,HAMPTON,VA,230,37.03074178300005,-76.43134134999997,75.0
51229,HOMERCIT,AGGREGATE,,152898,HOMER,HOMERVILLE,OH,-999999,41.03092724600003,-82.12257139099995,76.92307692307692
51233,HUNLOCK,AGGREGATE,,139272,HANCOCK,HANCOCK,MD,-999999,39.70322851000003,-78.18081712099996,71.42857142857143
51233,HUNLOCK,AGGREGATE,,147789,HANCOCK,SALEM,VA,138,37.267446422000035,-80.02305440799995,71.42857142857143
51234,HUNTERSTOWN CT 1,AGGREGATE,,123463,HUNTERSTOWN,GETTYSBURG,PA,115,39.86816982900007,-77.16455018799996,81.4814814814815
51234,HUNTERSTOWN CT 1,AGGREGATE,,122658,HUNTERTOWN,HUNTERTOWN,IN,138,41.221262214000035,-85.17766623099999,76.92307692307692
51235,KEYSTONE 1,AGGREGATE,,146704,KEYSTONE,SHELOCTA,PA,500,40.65770284200005,-79.33851666499999,88.88888888888889
51235,KEYSTONE 1,AGGREGATE,,144027,EDDYSTONE,CRUM LYNNE,PA,230,39.86029213900008,-75.32603277299995,73.6842105263158
51235,KEYSTONE 1,AGGREGATE,,129524,STONE LAKE,CASSOPOLIS,MI,69,41.902892293000036,-86.01169226899998,70.0
51236,KEYSTONE 2,AGGREGATE,,146704,KEYSTONE,SHELOCTA,PA,500,40.65770284200005,-79.33851666499999,88.88888888888889
51236,KEYSTONE 2,AGGREGATE,,123966,EASTON 2,EASTON,MD,-999999,38.794976844000075,-76.06913722199994,77.77777777777779
51236,KEYSTONE 2,AGGREGATE,,144027,EDDYSTONE,CRUM LYNNE,PA,230,39.86029213900008,-75.32603277299995,73.6842105263158
51239,MANITOU,AGGREGATE,,141104,MANITOUS,TOMS RIVER,NJ,230,39.952481841000065,-74.22001359299998,93.33333333333333
51239,MANITOU,AGGREGATE,,153857,MANTUA,MANTUA,OH,-999999,41.28448375800008,-81.23601092699994,76.92307692307692
51239,MANITOU,AGGREGATE,,151917,MONTOUR,ROBINSON TWP,PA,138,40.498552808000056,-80.13616688599996,71.42857142857143
51240,MIDDLETOWN,AGGREGATE,,144006,MIDDLETOWN,MEDIA,PA,230,39.91804352200006,-75.40775349399996,100.0
