pnode_id,pnode_name,pnode_subtype,pnode_zone,sub_id,sub_name,sub_city,sub_state,sub_max_volt,sub_lat,sub_lng,match_score
5021727,GORSUCH 138 KV  AMP OHIO,GEN,AEP,137125,RICHARD GORSUCH,MARIETTA,OH,138,39.36711112100005,-81.51987089999994,100
1165472099,BROWNHIL69 KV   ADAMS,LOAD,AEP,154277,ADAMS,NORWALK,OH,-999999,41.252065807000065,-82.60781165299994,100
32418453,MADISON 11 KV   SYNCHRON,GEN,AEP,124025,MADISON,ANDERSON,IN,138,40.08696248600006,-85.64506873999994,100
32418453,MADISON 11 KV   SYNCHRON,GEN,AEP,152461,MADISON,MT STERLING,OH,69,39.71706695000006,-83.27357051299998,100
32410491,ADDISON 138 KV  T3,LOAD,AEP,127644,EDISON,NEW CARLISLE,IN,138,41.69977019300006,-86.46625319899994,81.92307692307692
57967547,WALLEN  138 KV  LOAD XT1,LOAD,AEP,122650,ALLEN,MONROEVILLE,IN,345,41.01433108100008,-84.97763155999996,90.9090909090909
32411661,INDUSTRI34 KV   WALLEN,LOAD,AEP,151134,WALLEN,FORT WAYNE,IN,-999999,41.16182300000003,-85.16480599999994,100
32410519,AMOS    34 KV   T5,LOAD,AEP,153933,JOHN AMOS,WINFIELD,WV,765,38.47371050700008,-81.82943789099994,100
32410519,AMOS    34 KV   T5,LOAD,AEP,153992,AMOS,WINFIELD,WV,345,38.46877430100005,-81.82694168499995,100
32411201,ELMOSS  69 KV   FAYETEVI,LOAD,AEP,113966,MOSS,CLINCHCO,VA,69,37.151894166000034,-82.35643284299994,85.0
32410555,AUBURN  138 KV  T1,LOAD,AEP,122674,AUBURN (138KV),AUBURN,IN,138,41.36113477300006,-85.04708021599998,100
32410555,AUBURN  138 KV  T1,LOAD,AEP,122677,AUBURN (69KV),AUBURN,IN,138,41.36271455100007,-85.04779555899995,100
32410555,AUBURN  138 KV  T1,LOAD,AEP,146348,ASHBURN,ASHBURN,VA,230,39.05139227300003,-77.49837049299998,76.92307692307692
32410583,BEAVERCR46 KV   BURTON,LOAD,AEP,115504,BURTON,VIRGINIA BEACH,VA,115,36.90759809000008,-76.17297305099999,100
32410599,BELLE   46 KV   T1,LOAD,AEP,121587,BELLE HAVEN DIESEL GENERATION FACILITY,PAINTER,VA,69,37.54846185900004,-75.79083452899994,100
32410599,BELLE   46 KV   T1,LOAD,AEP,151011,BELLE VISTA,YOUNGSTOWN,OH,-999999,41.111947163000025,-80.68849115999996,100
32410599,BELLE   46 KV   T1,LOAD,AEP,162357,BELLE WEST VIRGINIA PLANT,CHARLESTON,WV,-999999,38.243836000000044,-81.55348599999996,100
1379257896,BOLTON  138 KV  T1,LOAD,AEP,158900,BOLTON,COLUMBUS,OH,-999999,39.89917434800003,-83.11852742199994,100
32410703,BOXWOOD 138 KV  T1,LOAD,AEP,147438,BOXWOOD,AMHERST,VA,138,37.593455292000044,-79.03242540899998,100
32410737,BRUES   138 KV  T4,LOAD,AEP,108782,BRUES,WHEELING,WV,138,40.03831035200005,-80.72264981499995,100
93353487,02BRUSH 138 KV  TR1,LOAD,ATSI,154047,BRUSH,RICHFIELD,OH,138,41.24334604400008,-81.62972286999997,88.33333333333333
1388603009,DOVER   69 KV   CDOVER,LOAD,AEP,152287,DOVER,DOVER,OH,69,40.520343136000065,-81.46801670199994,100
32410935,CODOVER 138 KV  T1,LOAD,AEP,109452,COOPER,SOMERSET,KY,161,36.99942707900004,-84.59151930499996,76.92307692307692
63381389,COVERT  16 KV   1STG,GEN,AEP,146048,COVERT,COVERT TWP,MI,-999999,42.321524888000056,-86.29396622699994,100
32410941,COLBY   34 KV   T1,LOAD,AEP,128721,AEP COLBY,WAYNE TWP,MI,138,41.99731061600005,-86.09112595999994,100
32410957,CONCORD 138 KV  T1,LOAD,AEP,122937,CONCORD,ELKHART,IN,138,41.65899052900005,-85.99026168499995,100
32410957,CONCORD 138 KV  T1,LOAD,AEP,146510,CONCORD,CONCORD TWP,PA,230,39.872290305000035,-75.53901959599995,100
32410971,COOK    34 KV   LOAD1,LOAD,AEP,145845,COOK,BARODA,MI,765,41.97414558000003,-86.55594339199996,100
32410971,COOK    34 KV   LOAD1,LOAD,AEP,145847,COOK,STEVENSVILLE,MI,345,41.976790451000056,-86.55417304999997,100
1123170676,ELLISONR138 KV  COVENTRY,LOAD,AEP,152367,COVENTRY,BARBERTON,OH,-999999,41.03443386400005,-81.57815713599996,100
32411023,DAMERON 138 KV  T1,LOAD,AEP,108787,LAMBERTON,HARRISVILLE,WV,138,39.26882499800007,-81.05471024599996,80.0
32411037,DARRAH  34 KV   26THSTRE,LOAD,AEP,108809,DARRAH,HUNTINGTON,WV,138,38.42021130000006,-82.38688186399997,100
32411109,DEWEY   138 KV  T1,LOAD,AEP,121290,DEWEY,VAN LEAR,KY,138,37.76316700000007,-82.67559199999994,100
32411131,DUBOIS2 34 KV   T2,LOAD,AEP,147377,DUBOIS,DUBOIS,PA,115,41.11998525700005,-78.73105811699998,92.3076923076923
34509189,DUMONT,EHV,AEP,153303,DUMONT,NORTH LIBERTY,IN,765,41.52347886100006,-86.36045134399996,100
32411251,FIELDALE69 KV   DUPONT,LOAD,AEP,147830,DUPONT,RICHMOND,VA,-999999,37.453271381000036,-77.43845776399996,100
32411139,DUNLAP  34 KV   LUSHER,LOAD,AEP,147717,DUNLAP,ELKHART,IN,138,41.647018667000054,-85.93085107299999,100
98370523,BEAVER  13.2 KV WL-B,GEN,ATSI,154487,BEAVER,LORAIN,OH,345,41.42775759500006,-82.26192374799996,100
2156108972,REAVER  138 KV  T4,LOAD,AEP,158901,REAVER,COLUMBUS,OH,-999999,39.938964276000036,-83.04258647399996,100
2156110530,SHELBYCO69 KV   LOGAN,LOAD,EKPC,108924,LOGAN,LOGAN,WV,138,37.84836236500007,-81.99701299199995,100
2156110530,SHELBYCO69 KV   LOGAN,LOAD,EKPC,140191,LOGAN,MISHAWAKA,IN,-999999,41.651357000000075,-86.19598899999994,100
2156110530,SHELBYCO69 KV   LOGAN,LOAD,EKPC,141215,LOGAN,WEST LIBERTY,OH,138,40.266460368000025,-83.77372710299994,100
32411291,FLOYD   138 KV  T2,LOAD,AEP,148692,FLOYD,FLOYD,VA,138,36.92592941500004,-80.30859177099995,100
32411297,FORD    138 KV  T3,LOAD,AEP,148673,FORD,PERRYSBURG,OH,138,41.57739316200008,-83.59795058099996,100
32411297,FORD    138 KV  T3,LOAD,AEP,153916,FORD LIMA,WOOSTER,OH,138,40.780375812000045,-84.08284326599994,100
32411321,FREMONT 138 KV  T1,LOAD,AEP,113964,FREEMONT,CLINTWOOD,VA,138,37.12982109600006,-82.39644840899996,98.33333333333333
32411321,FREMONT 138 KV  T1,LOAD,AEP,112850,FREMONT ENERGY CENTER,FREMONT,OH,138,41.37715361200003,-83.16313619999994,100
32411321,FREMONT 138 KV  T1,LOAD,AEP,137537,FRONT,CINCINNATI,OH,138,39.09384759100004,-84.52377296099996,88.33333333333333
48934057,HANNA II138 KV  HANNA II,LOAD,DAY,153876,HANNA,RAVENNA,OH,345,41.11965137000004,-81.22697050199997,100
32414931,GALION  69 KV   LOAD,LOAD,ATSI,151671,GALION,GALION,OH,345,40.69426814500008,-82.79971363799996,100
32411431,GRAYSON 69 KV   T1,LOAD,AEP,147547,RAYSTOWN,HUNTINGDON,PA,230,40.45576666000005,-78.03609612499997,80.0
32411515,HAZARD  69 KV   JEFF,LOAD,AEP,121484,HAZARD,HAZARD,KY,161,37.244987467000044,-83.17490814999996,100
32411535,HICKORYC34 KV   CLARK,LOAD,AEP,113862,CLARK,SPRINGFIELD,OH,138,39.923078549000024,-83.85318312099997,100
32411535,HICKORYC34 KV   CLARK,LOAD,AEP,146769,CLARK,VIENNA,VA,230,38.931664831000035,-77.30372449799995,100
32411535,HICKORYC34 KV   CLARK,LOAD,AEP,146796,CLARK,VIENNA,VA,230,38.90718245700003,-77.27127031499998,100
32411577,HOLSTON 138 KV  T1,LOAD,AEP,147768,HOLSTON DAM,BRISTOL,TN,69,36.52304361200004,-82.09071740199994,100
32412285,POSTON  138 KV  T1,LOAD,AEP,151625,POSTON,ATHENS,OH,138,39.38264403100004,-82.17930753799999,100
32411597,HOWARD2 138 KV  T1,LOAD,AEP,113674,HOWARD,SHELBY,OH,138,40.85090012000006,-82.68111930399994,97.3076923076923
32411655,INDUSTRI34 KV   BASS,LOAD,AEP,172439,BASS,FORT WAYNE,IN,138,41.09843100000006,-85.17366199999998,100
32411667,INEZ    138 KV  T1,LOAD,AEP,121356,INEZ,PILGRIM,KY,138,37.766915812000036,-82.47327384899995,100
98370217,PINEOE  138 KV  TR1,LOAD,ATSI,152383,PINE,AKRON,OH,138,41.108400912000036,-81.58211072199998,85.0
32411693,JACKSON 69 KV   LEECITY,LOAD,AEP,122734,JACKSON ROAD,SOUTH BEND,IN,345,41.62308557400007,-86.25599138999996,100
32411693,JACKSON 69 KV   LEECITY,LOAD,AEP,147373,MOUNT JACKSON,QUICKSBURG,VA,115,38.72436542100007,-78.66172980299996,100
32411693,JACKSON 69 KV   LEECITY,LOAD,AEP,147374,MOUNT JACKSON D.P.,MOUNT JACKSON,VA,115,38.747089274000075,-78.67194482899998,100
32411785,LAKIN   138 KV  T2,LOAD,AEP,108804,LAKIN,POINT PLEASANT,WV,69,38.967315358000064,-82.08488419599996,100
32411793,LAPORTE 69 KV   SPRINGV,LOAD,AEP,128041,LAPORTE JUNCTION,MICHIGAN CITY,IN,138,41.71862198900004,-86.75884616499997,100
32411809,LEONAP  69 KV   T2,LOAD,AEP,146508,LENAPE,POCOPSON TWP,PA,230,39.909628618000056,-75.63227955599996,83.33333333333333
32411809,LEONAP  69 KV   T2,LOAD,AEP,108812,LEON,LEON,WV,-999999,38.75939317000007,-81.94938556799997,80.0
32411811,LESLIE  161 KV  T1,LOAD,AEP,109523,LESLIE,HYDEN,KY,161,37.142363000000046,-83.32114199999995,100
32411811,LESLIE  161 KV  T1,LOAD,AEP,130536,LESLIE METERING,SIDNEY,KY,69,37.62521518400007,-82.35971715999995,100
32411815,LICK    138 KV  T1,LOAD,AEP,154289,LICK,JACKSON,OH,138,39.04366598900003,-82.60919609099994,100
32411845,LONDON  46 KV   HUGHESTO,LOAD,AEP,108880,LONDON,CEDAR GROVE,WV,-999999,38.19540073500008,-81.36740269899997,100
32411845,LONDON  46 KV   HUGHESTO,LOAD,AEP,113803,LONDON,LONDON,OH,138,39.885370357000056,-83.45512682099996,100
32411845,LONDON  46 KV   HUGHESTO,LOAD,AEP,146696,NEW LONDON,FOREST,VA,138,37.329108709000025,-79.30879958299994,100
32411859,LUCENT  138 KV  TA,LOAD,AEP,152440,LUCENT,COLUMBUS,OH,138,39.98837667000004,-82.83134625299994,100
32411875,MALVERN 138 KV  T1,LOAD,AEP,151736,MALVERN,MALVERN,OH,138,40.68395489000005,-81.19693452799999,100
32411941,MEDFORD 138 KV  T1,LOAD,AEP,124029,AEP MEDFORD SUBSTATION,MUNCIE,IN,138,40.148125470000025,-85.34222895799996,100
32411991,MILLRUN 69 KV   T1,LOAD,AEP,128922,MILL RUN,MILLWOOD,WV,-999999,38.903029805000074,-81.83942475799995,93.33333333333333
